Plan ID,Day,Exercise Name,Muscle Group,Workout Type,Fitness Level,Equipment Needed,Sets,Reps,Rest Time (seconds),Duration (minutes),AI Category,Intensity,Superset/Regular,Calories Burned,Workout Notes
1,1,Dumbbell Jumping Jacks,Full-Body,Cardio,Beginner,Dumbbell,3,15,30,10,Cardio + Beginner + Dumbbell,1,No,100,Warm up with light movements.
1,1,Dumbbell Squats,Legs,Cardio,Beginner,Dumbbell,3,15,30,10,Cardio + Beginner + Dumbbell,1,No,100,Focus on form.
1,1,Dumbbell Lunges,Legs,Cardio,Beginner,Dumbbell,3,15,30,10,Cardio + Beginner + Dumbbell,1,No,100,Keep weights light.
1,1,Dumbbell Push-Ups,Chest,Cardio,Beginner,Dumbbell,3,15,30,10,Cardio + Beginner + Dumbbell,1,No,100,Modify if needed.
1,1,Dumbbell Rows,Back,Cardio,Beginner,Dumbbell,3,15,30,10,Cardio + Beginner + Dumbbell,1,No,100,Control the movement.
1,2,Dumbbell 4 Knees,Full-Body,Cardio,Beginner,Dumbbell,3,15,30,10,Cardio + Beginner + Dumbbell,1,No,100,Engage core.
1,2,Dumbbell Deadlifts,Legs,Cardio,Beginner,Dumbbell,3,15,30,10,Cardio + Beginner + Dumbbell,1,No,100,Keep back straight.
1,2,Dumbbell Shoulder Press,Shoulders,Cardio,Beginner,Dumbbell,3,15,30,10,Cardio + Beginner + Dumbbell,1,No,100,Use controlled motion.
1,2,Dumbbell Bicep Curls,Arms,Cardio,Beginner,Dumbbell,3,15,30,10,Cardio + Beginner + Dumbbell,1,No,100,Focus on biceps.
1,2,Dumbbell Plank,Core,Cardio,Beginner,Dumbbell,3,30,30,10,Cardio + Beginner + Dumbbell,1,No,100,Hold for 30 seconds.
1,3,Dumbbell Burpees,Full-Body,Cardio,Beginner,Dumbbell,3,15,30,10,Cardio + Beginner + Dumbbell,1,No,100,Start s1.
1,3,Dumbbell Step-Ups,Legs,Cardio,Beginner,Dumbbell,3,15,30,10,Cardio + Beginner + Dumbbell,1,No,100,Use a stable platform.
1,3,Dumbbell Chest Press,Chest,Cardio,Beginner,Dumbbell,3,15,30,10,Cardio + Beginner + Dumbbell,1,No,100,Keep elbows close.
